Epoch,evaluation/Actions Max,evaluation/Actions Mean,evaluation/Actions Min,evaluation/Actions Std,evaluation/Average Returns,evaluation/Num Paths,evaluation/Returns Max,evaluation/Returns Mean,evaluation/Returns Min,evaluation/Returns Std,evaluation/Rewards Max,evaluation/Rewards Mean,evaluation/Rewards Min,evaluation/Rewards Std,evaluation/env_infos/final/is_success Max,evaluation/env_infos/final/is_success Mean,evaluation/env_infos/final/is_success Min,evaluation/env_infos/final/is_success Std,evaluation/env_infos/initial/is_success Max,evaluation/env_infos/initial/is_success Mean,evaluation/env_infos/initial/is_success Min,evaluation/env_infos/initial/is_success Std,evaluation/env_infos/is_success Max,evaluation/env_infos/is_success Mean,evaluation/env_infos/is_success Min,evaluation/env_infos/is_success Std,evaluation/num paths total,evaluation/num steps total,evaluation/path length Max,evaluation/path length Mean,evaluation/path length Min,evaluation/path length Std,exploration/Actions Max,exploration/Actions Mean,exploration/Actions Min,exploration/Actions Std,exploration/Average Returns,exploration/Num Paths,exploration/Returns Max,exploration/Returns Mean,exploration/Returns Min,exploration/Returns Std,exploration/Rewards Max,exploration/Rewards Mean,exploration/Rewards Min,exploration/Rewards Std,exploration/env_infos/final/is_success Max,exploration/env_infos/final/is_success Mean,exploration/env_infos/final/is_success Min,exploration/env_infos/final/is_success Std,exploration/env_infos/initial/is_success Max,exploration/env_infos/initial/is_success Mean,exploration/env_infos/initial/is_success Min,exploration/env_infos/initial/is_success Std,exploration/env_infos/is_success Max,exploration/env_infos/is_success Mean,exploration/env_infos/is_success Min,exploration/env_infos/is_success Std,exploration/num paths total,exploration/num steps total,exploration/path length Max,exploration/path length Mean,exploration/path length Min,exploration/path length Std,time/data storing (s),time/epoch (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/sac training (s),time/saving (s),time/total (s),time/training (s),trainer/Alpha,trainer/Alpha Loss,trainer/Log Pis Max,trainer/Log Pis Mean,trainer/Log Pis Min,trainer/Log Pis Std,trainer/Policy Loss,trainer/Q Targets Max,trainer/Q Targets Mean,trainer/Q Targets Min,trainer/Q Targets Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Min,trainer/Q1 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Min,trainer/Q2 Predictions Std,trainer/QF1 Loss,trainer/QF2 Loss,trainer/num train calls,trainer/policy/mean Max,trainer/policy/mean Mean,trainer/policy/mean Min,trainer/policy/mean Std,trainer/policy/normal/log_std Max,trainer/policy/normal/log_std Mean,trainer/policy/normal/log_std Min,trainer/policy/normal/log_std Std,trainer/policy/normal/std Max,trainer/policy/normal/std Mean,trainer/policy/normal/std Min,trainer/policy/normal/std Std
0,0.00032347644,-1.0875253e-05,-0.0004691511,0.0001350123,-58.97686415459752,100,-17.75613374751757,-58.97686415459752,-98.36788745184406,19.385254415344775,-0.35509384620527645,-1.1795372830919506,-1.9674070991350718,0.38770509466419756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,5000,50,50.0,50,0.0,0.9985065,0.0035286038,-0.99878246,0.62335795,-58.26337721588605,20,-21.810249933972226,-58.26337721588605,-86.7783523096484,18.997857903947295,-0.3069921627136801,-1.1652675443177212,-1.830181265115704,0.38463573466814144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,2000,50,50.0,50,0.0,0.004399232973810285,64.84093780972762,23.110456988972146,3.913468792976346,0.019160329014994204,37.786799244815484,0.006566407973878086,74.23944113595644,8.681300096213818e-05,1.0,-0.0,-2.4567862,-4.006913,-5.382312,0.5700345,-4.0067077,6.244971,3.723782,1.4577873,0.9167341,0.00075163203,-0.00010534832,-0.00097475987,0.0003164019,0.0013509963,0.00014447265,-0.0008963544,0.00040343683,14.707792,14.705841,0,0.0004424248,-1.2000993e-05,-0.00040208024,0.00014963873,0.0010664734,-4.0506864e-05,-0.0011926846,0.0007355663,1.001067,0.99995977,0.998808,0.00073547894
1,0.079946004,0.0014528135,-0.050294995,0.020297207,-60.800451693769034,100,-9.292297927647057,-60.800451693769034,-105.01214022769608,19.27153868639018,-0.17432073072445853,-1.2160090338753808,-2.1054762102754525,0.3856707912158647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200,10000,50,50.0,50,0.0,0.99846333,0.00077411224,-0.99637276,0.61181873,-54.472713764245235,20,-13.593605974965858,-54.472713764245235,-90.60643017164452,20.80529325884164,-0.17987569097702763,-1.0894542752849046,-1.8750113208640298,0.4217585159556195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60,3000,50,50.0,50,0.0,0.004439671000000089,64.20071272319183,22.664480221050326,3.7932215849868953,0.027890419005416334,37.69605927413795,0.014516093011479825,141.14440851891413,0.0001054599997587502,0.7407862544059753,-3.0316224098205566,-2.94726,-4.103955,-6.11917,0.43798786,-16.147387,17.287262,13.046994,7.205531,2.047128,18.413366,13.147872,7.4325233,2.132884,18.287748,13.136042,7.4713135,2.1235754,0.34893012,0.3392436,0,0.09969696,0.0031494014,-0.070787966,0.02624344,-0.023450755,-0.06999249,-0.12779823,0.01763084,0.9768221,0.93254536,0.88003093,0.016365506
2,0.06133136,0.0039887233,-0.07310447,0.020974495,-60.11988987760658,100,-7.833631325212416,-60.11988987760658,-95.75088528956653,19.515400805218245,-0.15284938030231154,-1.2023977975521314,-1.9276980496469303,0.39051707722300794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300,15000,50,50.0,50,0.0,0.9968552,0.002112152,-0.9982083,0.605517,-57.591742707910065,20,-30.77001623588829,-57.591742707910065,-79.27118535005754,16.82864549225059,-0.49069706590266277,-1.1518348541582013,-1.690444757215193,0.3397597121997812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80,4000,50,50.0,50,0.0,0.004615252022631466,64.37172448681667,22.351310428988654,3.8493190829758532,0.028450546029489487,38.123261305794585,0.014652771991677582,208.30755551334005,0.00011509901378303766,0.5487304329872131,-6.043700218200684,-3.4402313,-4.070349,-4.78741,0.3148825,-24.922544,29.148872,22.690277,11.387528,3.7143044,29.709467,22.730907,11.914739,3.6111348,29.596733,22.722183,11.972836,3.6034486,0.40527672,0.39210558,0,0.083908446,0.00408283,-0.098227926,0.028348353,-0.047881152,-0.08008242,-0.13980852,0.018815028,0.9532471,0.9232028,0.8695247,0.017246483
3,0.15103748,0.002790102,-0.098457724,0.028803535,-58.63407917431509,100,-18.06438721457142,-58.63407917431509,-99.22334754847869,19.58121000615528,-0.30023124258747946,-1.1726815834863016,-1.989130885330287,0.39243875840134007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400,20000,50,50.0,50,0.0,0.9983052,0.00943336,-0.99796796,0.6124875,-56.34618999352026,20,-28.59615303733943,-56.34618999352026,-82.66632088941498,14.7361869835778,-0.46367393087319014,-1.1269237998704051,-1.8261820716952766,0.3021645586914596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,5000,50,50.0,50,0.0,0.004469911975320429,63.27198291796958,21.92735657497542,3.8343886930379085,0.02153702697250992,37.47207148303278,0.012078002968337387,274.2705312772305,8.122500730678439e-05,0.4064856171607971,-9.065975189208984,-3.2131515,-4.070993,-5.4715853,0.34299237,-30.829788,38.943035,29.18563,15.17032,4.9465046,39.12833,29.207073,15.744547,4.93972,39.21516,29.215633,15.911396,4.9618196,0.34553024,0.39253035,0,0.17596143,0.0022674173,-0.114258945,0.03757503,-0.041252878,-0.08820798,-0.14917083,0.021748057,0.95958644,0.91578656,0.86142194,0.019854022
4,0.1558669,0.00018755405,-0.13701771,0.04420128,-60.51122862289304,100,-11.898154287631616,-60.51122862289304,-112.63135635860813,21.902084049539653,-0.20765248375344192,-1.210224572457861,-2.267024740424622,0.43911786916543244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500,25000,50,50.0,50,0.0,0.9984491,-0.006735018,-0.9996612,0.60414696,-59.39181634457219,20,-34.06754240488024,-59.39181634457219,-85.76858129130059,14.10081386764949,-0.6012616785184223,-1.187836326891444,-1.770399737348182,0.28702415005309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,6000,50,50.0,50,0.0,0.004460552998352796,60.827011274930555,19.07427754602395,3.891060705005657,0.028037643991410732,37.81463533791248,0.014438009005971253,337.86643852695124,0.00010147999273613095,0.3011484444141388,-12.106040000915527,-3.148881,-4.0870895,-5.8477983,0.42784214,-33.321,44.337112,32.11773,14.455369,6.570745,45.03962,32.218338,14.446972,6.5594416,45.243237,32.250126,14.437199,6.432879,0.25102192,0.52895945,0,0.1762429,0.0031558333,-0.21312135,0.056385648,-0.038495798,-0.08275755,-0.1425376,0.020742305,0.96223575,0.9207721,0.86715496,0.019057028
5,0.3718029,-0.004982999,-0.40878156,0.08073921,-59.097827135756376,100,-17.01763181159503,-59.097827135756376,-103.61014818299047,20.875781964865567,-0.23460010649139118,-1.1819565427151275,-2.120742640377894,0.420805713613727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600,30000,50,50.0,50,0.0,0.9993758,0.0024667794,-0.99880105,0.6065037,-57.05455939743545,20,-24.60172827416045,-57.05455939743545,-95.56264107761355,21.498351088326253,-0.3803001631709292,-1.141091187948709,-1.9800054938810112,0.43575617231185226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140,7000,50,50.0,50,0.0,0.004505880991928279,64.4957460348378,21.607975028979126,4.827403825009242,0.029071644006762654,38.018234447808936,0.008466510043945163,405.10334954602877,8.86979978531599e-05,0.22313904762268066,-15.164767265319824,-2.8768587,-4.110113,-6.072505,0.53635585,-35.255127,49.391106,34.267757,7.0105934,9.149991,49.317066,34.470413,7.099199,9.172522,49.49514,34.38336,7.5310917,9.154237,0.35026336,0.30569124,0,0.42273194,0.0038798947,-0.4492671,0.11187657,-0.03140076,-0.09367532,-0.18114604,0.027443469,0.9690871,0.91092044,0.8343135,0.024914779
6,0.83614326,0.004526608,-0.4393245,0.14152965,-57.978821599878145,100,-18.498076398602866,-57.978821599878145,-106.13745974687149,19.875378060648327,-0.12684181875765319,-1.1595764319975628,-2.136969973154327,0.4073650343083719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700,35000,50,50.0,50,0.0,0.9984179,0.014225358,-0.99871,0.6125904,-55.778787714548095,20,-21.605738790562764,-55.778787714548095,-92.00930473408451,21.21660426748987,-0.3672854553686689,-1.1155757542909617,-1.9564185247968102,0.43149948008949507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,8000,50,50.0,50,0.0,0.004501968971453607,58.50352010538336,20.105101819033735,3.896362286992371,0.03931994497543201,34.43736034142785,0.020709128002636135,466.03874222381273,0.00016461597988381982,0.16549614071846008,-18.1197509765625,-1.8887696,-4.073202,-5.885891,0.6131753,-35.286922,50.206963,34.87401,6.061741,9.991855,49.855,34.805016,5.7580814,9.881849,49.84884,34.646706,5.767416,9.9245825,0.43111232,0.39063284,0,0.6915778,0.026580693,-0.5453933,0.16738999,0.017022809,-0.082022145,-0.16760458,0.03386696,1.0171685,0.9217822,0.84568816,0.03142428
7,0.8964496,-0.019810557,-0.9031636,0.28413478,-53.65488670006844,100,-17.223138572897852,-53.65488670006844,-98.32290779882537,15.977104097595618,-0.2090716623986679,-1.0730977340013685,-2.2798400256060356,0.36745698998462134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800,40000,50,50.0,50,0.0,0.9995519,-0.0025029075,-0.99680686,0.62170666,-54.01916571809149,20,-11.765381513538712,-54.01916571809149,-104.23347664914147,19.959733437132495,-0.15455450622899836,-1.08038331436183,-2.200632845268578,0.44422667690544826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180,9000,50,50.0,50,0.0,0.004466279991902411,68.50669273617677,27.499506035994273,3.894387105014175,0.028084996971301734,37.07144328817958,0.008707532018888742,537.1730654602288,9.749800665304065e-05,0.1232125461101532,-20.26787567138672,-1.2027073,-3.6797433,-5.751431,0.91009265,-34.184727,50.757645,33.87641,-1.1888026,13.603149,50.16281,33.846344,0.007729088,13.308762,50.344093,33.781258,0.030924775,13.340824,0.721629,0.5264753,0,0.88313544,0.027567176,-0.8044106,0.2997526,0.034285057,-0.09285573,-0.3554608,0.054838166,1.0348796,0.9126747,0.7008504,0.0489488
8,0.9940256,-0.010465155,-0.98512036,0.3589546,-51.96496090320169,100,-19.19712988610405,-51.96496090320169,-100.7707957885825,17.532928096894842,-0.06726967340672667,-1.0392992180640337,-2.2651268574909875,0.4113986859264469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900,45000,50,50.0,50,0.0,0.9989924,0.024785161,-0.9996983,0.6442947,-55.77524756650014,20,-24.425869676383456,-55.77524756650014,-95.59922022975162,20.056495266283623,-0.39554114170943794,-1.1155049513300028,-2.131900837897982,0.4456716224288778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200,10000,50,50.0,50,0.0,0.006309880991466343,64.31630857253913,21.163004603993613,5.651454938983079,0.028471917961724102,37.452268210588954,0.014711159048601985,604.2228056885651,8.786097168922424e-05,0.0927407518029213,-20.658039093017578,2.523368,-2.6873403,-5.643938,1.7599502,-32.84328,53.43158,32.49972,-1.9254582,14.280791,53.96361,32.522644,-0.068074666,14.128479,53.304806,32.48578,-0.062152337,14.1152935,0.748038,0.7714589,0,0.9903449,0.09478473,-0.955897,0.4309003,0.14416628,-0.12831257,-0.5744694,0.09854016,1.1550761,0.8836853,0.56300354,0.08206769
9,0.9963491,0.032484047,-0.987638,0.41604105,-54.38161361480165,100,-13.278596558348916,-54.38161361480165,-97.26709255094516,18.54392706921835,-0.07914200854999216,-1.087632272296033,-2.2867990045224436,0.4313919002216424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000,50000,50,50.0,50,0.0,0.99740493,0.042841543,-0.9994661,0.63271666,-63.49057934963734,20,-30.9498884818663,-63.49057934963734,-107.53278205560895,21.076332346701733,-0.17541669473828775,-1.2698115869927469,-2.192905560196228,0.4471467719545431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220,11000,50,50.0,50,0.0,0.004516915010754019,62.47462401667144,20.452891655964777,3.9178001399850473,0.027724825020413846,38.06285891070729,0.00870515697170049,669.4964997590287,0.00012641301145777106,0.07116860151290894,-18.978870391845703,7.3463564,-1.1816125,-6.106157,2.6600623,-33.426445,55.011253,32.99519,-1.6379098,15.382621,54.402878,33.19378,-0.20600703,15.304606,54.202812,33.118023,-0.20838788,15.296865,0.89603364,0.9377132,0,0.99752676,0.106055915,-0.9740144,0.52922976,0.12873429,-0.1868649,-0.7798345,0.1536368,1.1373879,0.8390185,0.45848188,0.12185026
10,0.99557734,0.026464868,-0.99695504,0.46815574,-50.71666199022808,100,-11.134944173721994,-50.71666199022808,-105.96096256703156,20.66147754204994,-0.06185295187386914,-1.014333239804562,-2.3350342298052267,0.478657820801797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100,55000,50,50.0,50,0.0,0.99933875,0.07331254,-0.9998383,0.6687368,-50.595298267609266,20,-16.704333924073097,-50.595298267609266,-108.33304018243132,24.563774455522882,-0.06669804470132278,-1.0119059653521856,-2.2600463281274714,0.5372353971441843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240,12000,50,50.0,50,0.0,0.004416971991304308,63.92194375884719,22.68352831399534,3.906337369000539,0.029381320986431092,37.279904051858466,0.018247433006763458,736.1472615490784,0.0001282980083487928,0.055302560329437256,-18.377910614013672,9.868984,-0.3482957,-8.261907,3.19509,-33.3415,57.513477,33.029728,-2.1403878,16.90529,59.01701,33.127808,-0.3923928,16.617922,58.751537,33.01107,-0.40046185,16.565878,1.4080578,1.129761,0,0.994374,0.08482323,-0.9952841,0.58559126,0.39788792,-0.26157084,-0.8599572,0.19959421,1.4886771,0.7850232,0.4231802,0.15326694
11,0.997757,0.08776108,-0.9997284,0.47621492,-49.17084511669266,100,-6.866161860490252,-49.17084511669266,-107.00240967562665,21.98981302194903,-0.0932670640049452,-0.983416902333853,-2.225937587094172,0.506142848687587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200,60000,50,50.0,50,0.0,0.99965674,0.07322668,-0.99974036,0.6730555,-46.11848746108989,20,-21.034088058728887,-46.11848746108989,-83.38237003468448,18.26074627472666,-0.13091172847390342,-0.9223697492217977,-1.8145330451660837,0.436782148848609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260,13000,50,50.0,50,0.0,0.007165855960920453,67.4126732145669,23.75700710399542,5.729171109967865,0.033719931030645967,37.86903964757221,0.016443921020254493,806.399347729981,0.00012564501957967877,0.0434698648750782,-15.13332748413086,13.017914,1.1738403,-6.467705,3.7551181,-35.59902,58.510933,35.027534,-2.1445417,17.288788,59.679893,35.182213,-0.5907078,16.96286,58.683563,35.174496,-0.60361606,16.939295,1.2493689,1.0696158,0,0.99859613,0.08121318,-0.99876755,0.6497738,0.21649759,-0.300958,-0.9437275,0.2296319,1.2417201,0.75981236,0.3891745,0.17453432
12,0.9994777,0.021586487,-0.99993616,0.49518234,-47.0777129611537,100,-7.841820661496,-47.0777129611537,-101.71213718582801,21.381964126845247,-0.07608514247412076,-0.9415542592230742,-2.108402056652241,0.48957070845957035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1300,65000,50,50.0,50,0.0,0.9993489,-0.04858483,-0.9999231,0.6930873,-53.66933479430738,20,-18.164283332040377,-53.66933479430738,-91.23822342083281,19.756971398417775,0.47335782884749344,-1.0733866958861478,-1.938346884130227,0.4791249638560849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280,14000,50,50.0,50,0.0,0.006902622990310192,61.39450725179631,20.11455791001208,3.952170433010906,0.02869450201978907,37.277691183786374,0.01437592098955065,870.506893979793,0.00011467898730188608,0.03447306156158447,-13.11807632446289,14.193135,2.1045947,-10.154063,4.9484434,-34.806873,60.05921,34.495377,-2.9244862,18.334509,60.33347,34.566452,-0.7808745,18.04366,59.659546,34.414368,-0.7991316,18.000841,1.2849832,1.2973548,0,0.99687344,0.01083146,-0.99952316,0.68548036,0.2995093,-0.25966927,-0.98074853,0.25044236,1.3491966,0.7958242,0.37503028,0.1997185
